,cause,share
1,pmort,7.71513304802787
2,smort,2.77143026935235
3,lmort,3.51093422208401
4,hmort,16.6178358519397
5,cmort,19.4706734256438
6,lungcmort,4.28422220612167
7,cdmort,2.85527979283469
8,clmort,3.09559415528118
9,amort,6.33690738535206
10,omort,37.6262118494844
11,ormort,2.30578048846011
12,ovmort,2.34363488498369
13,icd10amort,1.58736102755556
14,icd10bmort,0.756273857428132
15,icd10dmort,0.679832398641801
16,icd10emort,5.32118844895477
17,icd10fmort,1.91103646965828
18,icd10gmort,2.56310897751612
19,icd10hmort,0.00350051408712698
20,icd10imort,1.81408037017529
21,icd10jmort,2.30578048846011
22,icd10kmort,2.28990606411151
23,icd10lmort,0.181782510617548
24,icd10mmort,0.456939199326599
25,icd10nmort,1.72624188877971
26,icd10omort,0.119343108179725
27,icd10pmort,0.00162814608703581
28,icd10qmort,0.277517500535253
29,icd10rmort,0.928613120740872
30,dmort,13.9974975394642
31,rmort,36.0885092775834
32,vmort,14.7002053906289
33,nmort,86.0025024605358
