,cause,share
1,pmort,1.77377283764218
2,smort,2.91628873878188
3,lmort,2.65784240266362
4,hmort,23.0149631273838
5,cmort,31.3622868345887
6,lungcmort,9.54617668433773
7,cdmort,3.90894801777998
8,clmort,3.79247111316428
9,amort,7.32100302530098
10,omort,23.2524239026946
11,ormort,2.45052196300908
12,ovmort,4.06274823524109
13,icd10amort,1.32378044314744
14,icd10bmort,2.73896779209365
15,icd10dmort,0.950124786623324
16,icd10emort,4.31682844796989
17,icd10fmort,1.22237370635989
18,icd10gmort,2.05390894801778
19,icd10hmort,0.00535202221934277
20,icd10imort,1.82799727328552
21,icd10jmort,2.45052196300908
22,icd10kmort,2.21446961459806
23,icd10lmort,0.112533309296181
24,icd10mmort,0.595201207866909
25,icd10nmort,1.47743981791857
26,icd10omort,0.043379548514673
27,icd10pmort,0.00197179765975786
28,icd10qmort,0.346754702737419
29,icd10rmort,1.57011430792719
30,dmort,7.34790397908768
31,rmort,54.3772499619725
32,vmort,0
33,nmort,92.6520960209123
