,cause,share
1,pmort,6.64201157941896
2,smort,3.70946341799635
3,lmort,3.5319812523693
4,hmort,19.5075300685805
5,cmort,26.0553080952545
6,lungcmort,5.88674311610435
7,cdmort,3.29009718440914
8,clmort,4.28154185477479
9,amort,6.86731054209601
10,omort,26.1147560051005
11,ormort,2.98025726298377
12,ovmort,2.82732966881483
13,icd10amort,1.80745338939243
14,icd10bmort,1.01987627942241
15,icd10dmort,0.824839749112589
16,icd10emort,5.69396819106041
17,icd10fmort,1.89910225040494
18,icd10gmort,3.16366268049764
19,icd10hmort,0.00624633835337905
20,icd10imort,2.02305975807285
21,icd10jmort,2.98025726298377
22,icd10kmort,2.51447427370162
23,icd10lmort,0.192344143088534
24,icd10mmort,0.540523658544991
25,icd10nmort,1.96964279560258
26,icd10omort,0.101772236964538
27,icd10pmort,0.00161543233277044
28,icd10qmort,0.342040872591929
29,icd10rmort,1.03258434710687
30,dmort,13.8834562497846
31,rmort,45.562838163835
32,vmort,0
33,nmort,86.1165437502154
